Gene symbol	chr	geneID	gene type
SCIN	chr7	ENSG00000006747	protein_coding
ARSD	chrX	ENSG00000006756	protein_coding
PNPLA4	chrX	ENSG00000006757	protein_coding
MYH13	chr17	ENSG00000006788	protein_coding
ADIPOR2	chr12	ENSG00000006831	protein_coding
CDKL3	chr5	ENSG00000006837	protein_coding
UPP2	chr2	ENSG00000007001	protein_coding
PRSS21	chr16	ENSG00000007038	protein_coding
MARK4	chr19	ENSG00000007047	protein_coding
PROM1	chr4	ENSG00000007062	protein_coding
CCDC124	chr19	ENSG00000007080	protein_coding
CEACAM21	chr19	ENSG00000007129	protein_coding
PAFAH1B1	chr17	ENSG00000007168	protein_coding
NOS2	chr17	ENSG00000007171	protein_coding
DNAH9	chr17	ENSG00000007174	protein_coding
BLTP2	chr17	ENSG00000007202	protein_coding
SLC13A2	chr17	ENSG00000007216	protein_coding
GAS7	chr17	ENSG00000007237	protein_coding
TRAPPC6A	chr19	ENSG00000007255	protein_coding
MATK	chr19	ENSG00000007264	protein_coding
CEACAM7	chr19	ENSG00000007306	protein_coding
CD79B	chr17	ENSG00000007312	protein_coding
SCN4A	chr17	ENSG00000007314	protein_coding
ST7L	chr1	ENSG00000007341	protein_coding
TKTL1	chrX	ENSG00000007350	protein_coding
PAX6	chr11	ENSG00000007372	protein_coding
RPUSD1	chr16	ENSG00000007376	protein_coding
RHBDF1	chr16	ENSG00000007384	protein_coding
LUC7L	chr16	ENSG00000007392	protein_coding
CACNA2D2	chr3	ENSG00000007402	protein_coding
BAIAP3	chr16	ENSG00000007516	protein_coding
TSR3	chr16	ENSG00000007520	protein_coding
PIGQ	chr16	ENSG00000007541	protein_coding
CRAMP1	chr16	ENSG00000007545	protein_coding
TEAD3	chr6	ENSG00000007866	protein_coding
SELE	chr1	ENSG00000007908	protein_coding
DNAJC11	chr1	ENSG00000007923	protein_coding
FMO3	chr1	ENSG00000007933	protein_coding
MYLIP	chr6	ENSG00000007944	protein_coding
NOX1	chrX	ENSG00000007952	protein_coding
E2F2	chr1	ENSG00000007968	protein_coding
PSMB1	chr6	ENSG00000008018	protein_coding
SYN1	chrX	ENSG00000008056	protein_coding
JARID2	chr6	ENSG00000008083	protein_coding
CDKL5	chrX	ENSG00000008086	protein_coding
CAMK1G	chr1	ENSG00000008118	protein_coding
CDK11A	chr1	ENSG00000008128	protein_coding
NADK	chr1	ENSG00000008130	protein_coding
TFAP2B	chr6	ENSG00000008196	protein_coding
TFAP2D	chr6	ENSG00000008197	protein_coding
DLEC1	chr3	ENSG00000008226	protein_coding
CYTH3	chr7	ENSG00000008256	protein_coding
ADAM22	chr7	ENSG00000008277	protein_coding
SYPL1	chr7	ENSG00000008282	protein_coding
CYB561	chr17	ENSG00000008283	protein_coding
SPAG9	chr17	ENSG00000008294	protein_coding
CELSR3	chr3	ENSG00000008300	protein_coding
AASS	chr7	ENSG00000008311	protein_coding
PLEKHG6	chr12	ENSG00000008323	protein_coding
SS18L2	chr3	ENSG00000008324	protein_coding
MPND	chr19	ENSG00000008382	protein_coding
MGST1	chr12	ENSG00000008394	protein_coding
CRY1	chr12	ENSG00000008405	protein_coding
PGLYRP1	chr19	ENSG00000008438	protein_coding
NFIX	chr19	ENSG00000008441	protein_coding
ST3GAL1	chr8	ENSG00000008513	protein_coding
MMP25	chr16	ENSG00000008516	protein_coding
IL32	chr16	ENSG00000008517	protein_coding
PKD1	chr16	ENSG00000008710	protein_coding
MAPK8IP2	chr22	ENSG00000008735	protein_coding
MED24	chr17	ENSG00000008838	protein_coding
RHOBTB2	chr8	ENSG00000008853	protein_coding
HEATR5B	chr2	ENSG00000008869	protein_coding
SEC62	chr3	ENSG00000008952	protein_coding
RPS20	chr8	ENSG00000008988	protein_coding
CSDE1	chr1	ENSG00000009307	protein_coding
UBE3C	chr7	ENSG00000009335	protein_coding
REV3L	chr6	ENSG00000009413	protein_coding
TENM1	chrX	ENSG00000009694	protein_coding
PAX7	chr1	ENSG00000009709	protein_coding
MASP2	chr1	ENSG00000009724	protein_coding
IYD	chr6	ENSG00000009765	protein_coding
FAM76A	chr1	ENSG00000009780	protein_coding
TRAF3IP3	chr1	ENSG00000009790	protein_coding
POMT2	chr14	ENSG00000009830	protein_coding
VTA1	chr6	ENSG00000009844	protein_coding
MLXIPL	chr7	ENSG00000009950	protein_coding
BAZ1B	chr7	ENSG00000009954	protein_coding
RANBP9	chr6	ENSG00000010017	protein_coding
ETV7	chr6	ENSG00000010030	protein_coding
SPRTN	chr1	ENSG00000010072	protein_coding
METTL13	chr1	ENSG00000010165	protein_coding
DYRK4	chr12	ENSG00000010219	protein_coding
ZNF207	chr17	ENSG00000010244	protein_coding
UQCRC1	chr3	ENSG00000010256	protein_coding
STARD3NL	chr7	ENSG00000010270	protein_coding
CD9	chr12	ENSG00000010278	protein_coding
HHATL	chr3	ENSG00000010282	protein_coding
NCAPD2	chr12	ENSG00000010292	protein_coding
IFFO1	chr12	ENSG00000010295	protein_coding
GIPR	chr19	ENSG00000010310	protein_coding
PHF7	chr3	ENSG00000010318	protein_coding
SEMA3G	chr3	ENSG00000010319	protein_coding
NISCH	chr3	ENSG00000010322	protein_coding
STAB1	chr3	ENSG00000010327	protein_coding
FUZ	chr19	ENSG00000010361	protein_coding
SLC6A13	chr12	ENSG00000010379	protein_coding
IDS	chrX	ENSG00000010404	protein_coding
PRSS3	chr9	ENSG00000010438	protein_coding
ZNF200	chr16	ENSG00000010539	protein_coding
CD4	chr12	ENSG00000010610	protein_coding
LRRC23	chr12	ENSG00000010626	protein_coding
BTK	chrX	ENSG00000010671	protein_coding
HFE	chr6	ENSG00000010704	protein_coding
SCMH1	chr1	ENSG00000010803	protein_coding
FYN	chr6	ENSG00000010810	protein_coding
HIVEP2	chr6	ENSG00000010818	protein_coding
FMO1	chr1	ENSG00000010932	protein_coding
ELOA	chr1	ENSG00000011007	protein_coding
LYPLA2	chr1	ENSG00000011009	protein_coding
CLCN6	chr1	ENSG00000011021	protein_coding
MRC2	chr17	ENSG00000011028	protein_coding
NME1-NME2	chr17	ENSG00000011052	protein_coding
SLC6A7	chr5	ENSG00000011083	protein_coding
TSPAN9	chr12	ENSG00000011105	protein_coding
BTBD7	chr14	ENSG00000011114	protein_coding
APBA3	chr19	ENSG00000011132	protein_coding
MKS1	chr17	ENSG00000011143	protein_coding
ABHD5	chr3	ENSG00000011198	protein_coding
ANOS1	chrX	ENSG00000011201	protein_coding
AKAP8L	chr19	ENSG00000011243	protein_coding
MBTD1	chr17	ENSG00000011258	protein_coding
UTP18	chr17	ENSG00000011260	protein_coding
RNF216	chr7	ENSG00000011275	protein_coding
TTC19	chr17	ENSG00000011295	protein_coding
PTBP1	chr19	ENSG00000011304	protein_coding
DPF1	chr19	ENSG00000011332	protein_coding
SYT7	chr11	ENSG00000011347	protein_coding
LARS2	chr3	ENSG00000011376	protein_coding
PIK3C2A	chr11	ENSG00000011405	protein_coding
PLAUR	chr19	ENSG00000011422	protein_coding
ANLN	chr7	ENSG00000011426	protein_coding
WIZ	chr19	ENSG00000011451	protein_coding
RABGAP1	chr9	ENSG00000011454	protein_coding
DCN	chr12	ENSG00000011465	protein_coding
QPCTL	chr19	ENSG00000011478	protein_coding
PPP5C	chr19	ENSG00000011485	protein_coding
CEP68	chr2	ENSG00000011523	protein_coding
MAP4K3	chr2	ENSG00000011566	protein_coding
ZBTB32	chr19	ENSG00000011590	protein_coding
TYROBP	chr19	ENSG00000011600	protein_coding
LDAF1	chr16	ENSG00000011638	protein_coding
GABRA3	chrX	ENSG00000011677	protein_coding
BRCA1	chr17	ENSG00000012048	protein_coding
ERCC1	chr19	ENSG00000012061	protein_coding
CD22	chr19	ENSG00000012124	protein_coding
SEMA3B	chr3	ENSG00000012171	protein_coding
MBTPS2	chrX	ENSG00000012174	protein_coding
PRICKLE3	chrX	ENSG00000012211	protein_coding
LTF	chr3	ENSG00000012223	protein_coding
EXTL3	chr8	ENSG00000012232	protein_coding
NR1H4	chr12	ENSG00000012504	protein_coding
ELOVL5	chr6	ENSG00000012660	protein_coding
ALOX5	chr10	ENSG00000012779	protein_coding
KDM5D	chrY	ENSG00000012817	protein_coding
CALCOCO1	chr12	ENSG00000012822	protein_coding
UBR7	chr14	ENSG00000012963	protein_coding
MAP4K5	chr14	ENSG00000012983	protein_coding
EHD3	chr2	ENSG00000013016	protein_coding
PSMC4	chr19	ENSG00000013275	protein_coding
MAN2B2	chr4	ENSG00000013288	protein_coding
SLC7A14	chr3	ENSG00000013293	protein_coding
CLDN11	chr3	ENSG00000013297	protein_coding
SLC25A39	chr17	ENSG00000013306	protein_coding
MVP	chr16	ENSG00000013364	protein_coding
NUB1	chr7	ENSG00000013374	protein_coding
PGM3	chr6	ENSG00000013375	protein_coding
RWDD2A	chr6	ENSG00000013392	protein_coding
CLK1	chr2	ENSG00000013441	protein_coding
POLR3B	chr12	ENSG00000013503	protein_coding
ANGEL1	chr14	ENSG00000013523	protein_coding
RNF14	chr5	ENSG00000013561	protein_coding
DNASE1L1	chrX	ENSG00000013563	protein_coding
DDX11	chr12	ENSG00000013573	protein_coding
HEBP1	chr12	ENSG00000013583	protein_coding
GPRC5A	chr12	ENSG00000013588	protein_coding
MAMLD1	chrX	ENSG00000013619	protein_coding
CD6	chr11	ENSG00000013725	protein_coding
TACC3	chr4	ENSG00000013810	protein_coding
UFL1	chr6	ENSG00000014123	protein_coding
POLA2	chr11	ENSG00000014138	protein_coding
ZC3H3	chr8	ENSG00000014164	protein_coding
CAPN1	chr11	ENSG00000014216	protein_coding
ACP3	chr3	ENSG00000014257	protein_coding
MDH1	chr2	ENSG00000014641	protein_coding
SLC30A9	chr4	ENSG00000014824	protein_coding
MTMR11	chr1	ENSG00000014914	protein_coding
COX15	chr10	ENSG00000014919	protein_coding
CCDC88C	chr14	ENSG00000015133	protein_coding
YAF2	chr12	ENSG00000015153	protein_coding
ZMYND11	chr10	ENSG00000015171	protein_coding
WAS	chrX	ENSG00000015285	protein_coding
DPEP1	chr16	ENSG00000015413	protein_coding
BID	chr22	ENSG00000015475	protein_coding
MATR3	chr5	ENSG00000015479	protein_coding
NPC1L1	chr7	ENSG00000015520	protein_coding
XYLT2	chr17	ENSG00000015532	protein_coding
RGPD5	chr2	ENSG00000015568	protein_coding
STMN4	chr8	ENSG00000015592	protein_coding
NUDCD3	chr7	ENSG00000015676	protein_coding
ISL1	chr5	ENSG00000016082	protein_coding
CHDH	chr3	ENSG00000016391	protein_coding
IL20RA	chr6	ENSG00000016402	protein_coding
CLCA1	chr1	ENSG00000016490	protein_coding
CLCA4	chr1	ENSG00000016602	protein_coding
GLT8D1	chr3	ENSG00000016864	protein_coding
ATP2C1	chr3	ENSG00000017260	protein_coding
IGF1	chr12	ENSG00000017427	protein_coding
SLC38A5	chrX	ENSG00000017483	protein_coding
RALBP1	chr18	ENSG00000017797	protein_coding
RUFY3	chr4	ENSG00000018189	protein_coding
CNTN1	chr12	ENSG00000018236	protein_coding
SLC11A1	chr2	ENSG00000018280	protein_coding
WWTR1	chr3	ENSG00000018408	protein_coding
AGPS	chr2	ENSG00000018510	protein_coding
ZNF285CP	chr2	ENSG00000018607	transcribed_unprocessed_pseudogene
STEEP1	chrX	ENSG00000018610	protein_coding
ATP1A2	chr1	ENSG00000018625	protein_coding
TTC27	chr2	ENSG00000018699	protein_coding
ZNF582	chr19	ENSG00000018869	protein_coding
VSIG2	chr11	ENSG00000019102	protein_coding
PHLDB1	chr11	ENSG00000019144	protein_coding
MARCO	chr2	ENSG00000019169	protein_coding
CYP24A1	chr20	ENSG00000019186	protein_coding
PRDM11	chr11	ENSG00000019485	protein_coding
SYT13	chr11	ENSG00000019505	protein_coding
SNAI2	chr8	ENSG00000019549	protein_coding
CD74	chr5	ENSG00000019582	protein_coding
HGF	chr7	ENSG00000019991	protein_coding
ZRANB1	chr10	ENSG00000019995	protein_coding
NCDN	chr1	ENSG00000020129	protein_coding
ADGRA2	chr8	ENSG00000020181	protein_coding
CCT8L1P	chr7	ENSG00000020219	processed_pseudogene
ZFP64	chr20	ENSG00000020256	protein_coding
MNAT1	chr14	ENSG00000020426	protein_coding
SAMD4A	chr14	ENSG00000020577	protein_coding
RUNX3	chr1	ENSG00000020633	protein_coding
MRE11	chr11	ENSG00000020922	protein_coding
PLEKHB1	chr11	ENSG00000021300	protein_coding
SERPINB1	chr6	ENSG00000021355	protein_coding
CYP3A43	chr7	ENSG00000021461	protein_coding
SLC7A9	chr19	ENSG00000021488	protein_coding
SPAST	chr2	ENSG00000021574	protein_coding
NRXN3	chr14	ENSG00000021645	protein_coding
OSBPL5	chr11	ENSG00000021762	protein_coding
AQR	chr15	ENSG00000021776	protein_coding
CPS1	chr2	ENSG00000021826	protein_coding
C8B	chr1	ENSG00000021852	protein_coding
FHL1	chrX	ENSG00000022267	protein_coding
RTF2	chr20	ENSG00000022277	protein_coding
GABRA1	chr5	ENSG00000022355	protein_coding
NLRP2	chr19	ENSG00000022556	protein_coding
SLC45A4	chr8	ENSG00000022567	protein_coding
RNF10	chr12	ENSG00000022840	protein_coding
ZNF839	chr14	ENSG00000022976	protein_coding
ZDHHC6	chr10	ENSG00000023041	protein_coding
GRAMD1B	chr11	ENSG00000023171	protein_coding
RNH1	chr11	ENSG00000023191	protein_coding
NDUFS1	chr2	ENSG00000023228	protein_coding
RB1CC1	chr8	ENSG00000023287	protein_coding
ERP44	chr9	ENSG00000023318	protein_coding
ALAS1	chr3	ENSG00000023330	protein_coding
BIRC3	chr11	ENSG00000023445	protein_coding
AKAP11	chr13	ENSG00000023516	protein_coding
GLRX2	chr1	ENSG00000023572	protein_coding
SNAPC1	chr14	ENSG00000023608	protein_coding
DERA	chr12	ENSG00000023697	protein_coding
STRAP	chr12	ENSG00000023734	protein_coding
ABCC2	chr10	ENSG00000023839	protein_coding
DEF6	chr6	ENSG00000023892	protein_coding
PLEKHO1	chr1	ENSG00000023902	protein_coding
GCLM	chr1	ENSG00000023909	protein_coding
UBR2	chr6	ENSG00000024048	protein_coding
EHD2	chr19	ENSG00000024422	protein_coding
DEPDC1	chr1	ENSG00000024526	protein_coding
CCDC28A	chr6	ENSG00000024862	protein_coding
RRAGD	chr6	ENSG00000025039	protein_coding
HSF2	chr6	ENSG00000025156	protein_coding
PHF20	chr20	ENSG00000025293	protein_coding
HSD17B6	chr12	ENSG00000025423	protein_coding
NR1H3	chr11	ENSG00000025434	protein_coding
TYMP	chr22	ENSG00000025708	protein_coding
NCAPH2	chr22	ENSG00000025770	protein_coding
TOMM34	chr20	ENSG00000025772	protein_coding
SEC63	chr6	ENSG00000025796	protein_coding
KPNA6	chr1	ENSG00000025800	protein_coding
VIM	chr10	ENSG00000026025	protein_coding
RTEL1-TNFRSF6B	chr20	ENSG00000026036	protein_coding
FAS	chr10	ENSG00000026103	protein_coding
RNASET2	chr6	ENSG00000026297	protein_coding
CD44	chr11	ENSG00000026508	protein_coding
KCNG1	chr20	ENSG00000026559	protein_coding
AGPAT4	chr6	ENSG00000026652	protein_coding
SLAMF7	chr1	ENSG00000026751	protein_coding
BTN3A1	chr6	ENSG00000026950	protein_coding
MIPEP	chr13	ENSG00000027001	protein_coding
PRKCH	chr14	ENSG00000027075	protein_coding
INSRR	chr1	ENSG00000027644	protein_coding
IFNGR1	chr6	ENSG00000027697	protein_coding
B4GALT7	chr5	ENSG00000027847	protein_coding
SH2D2A	chr1	ENSG00000027869	protein_coding
VRK2	chr2	ENSG00000028116	protein_coding
TNFRSF1B	chr1	ENSG00000028137	protein_coding
VEZT	chr12	ENSG00000028203	protein_coding
POU2F2	chr19	ENSG00000028277	protein_coding
BRD9	chr5	ENSG00000028310	protein_coding
SNX1	chr15	ENSG00000028528	protein_coding
TBPL1	chr6	ENSG00000028839	protein_coding
BMAL2	chr12	ENSG00000029153	protein_coding
BCLAF1	chr6	ENSG00000029363	protein_coding
SLC39A9	chr14	ENSG00000029364	protein_coding
ANK1	chr8	ENSG00000029534	protein_coding
IBSP	chr4	ENSG00000029559	protein_coding
TFB1M	chr6	ENSG00000029639	protein_coding
RABEP1	chr17	ENSG00000029725	protein_coding
HMGB3	chrX	ENSG00000029993	protein_coding
NUP160	chr11	ENSG00000030066	protein_coding
BAK1	chr6	ENSG00000030110	protein_coding
MUSK	chr9	ENSG00000030304	protein_coding
IKZF2	chr2	ENSG00000030419	protein_coding
GRN	chr17	ENSG00000030582	protein_coding
FAM13B	chr5	ENSG00000031003	protein_coding
ARHGAP31	chr3	ENSG00000031081	protein_coding
CENPQ	chr6	ENSG00000031691	protein_coding
SARS1	chr1	ENSG00000031698	protein_coding
RANBP3	chr19	ENSG00000031823	protein_coding
ARID4A	chr14	ENSG00000032219	protein_coding
EIPR1	chr2	ENSG00000032389	protein_coding
PNPLA6	chr19	ENSG00000032444	protein_coding
IFT88	chr13	ENSG00000032742	protein_coding
ALG1	chr16	ENSG00000033011	protein_coding
ZCCHC8	chr12	ENSG00000033030	protein_coding
ABCF2	chr7	ENSG00000033050	protein_coding
CHPF2	chr7	ENSG00000033100	protein_coding
LRRC7	chr1	ENSG00000033122	protein_coding
FUT8	chr14	ENSG00000033170	protein_coding
UBA6	chr4	ENSG00000033178	protein_coding
GAB2	chr11	ENSG00000033327	protein_coding
ATP6V0A1	chr17	ENSG00000033627	protein_coding
PIAS1	chr15	ENSG00000033800	protein_coding
SLC4A7	chr3	ENSG00000033867	protein_coding
APBA2	chr15	ENSG00000034053	protein_coding
MAP2K3	chr17	ENSG00000034152	protein_coding
CLXN	chr8	ENSG00000034239	protein_coding
TMSB10	chr2	ENSG00000034510	protein_coding
ASTE1	chr3	ENSG00000034533	protein_coding
RNF19A	chr8	ENSG00000034677	protein_coding
PEX3	chr6	ENSG00000034693	protein_coding
GABARAPL2	chr16	ENSG00000034713	protein_coding
MYOC	chr1	ENSG00000034971	protein_coding
SH3YL1	chr2	ENSG00000035115	protein_coding
FAM136A	chr2	ENSG00000035141	protein_coding
VCL	chr10	ENSG00000035403	protein_coding
DEPDC1B	chr5	ENSG00000035499	protein_coding
DAPK2	chr15	ENSG00000035664	protein_coding
NSMAF	chr8	ENSG00000035681	protein_coding
ADSS2	chr1	ENSG00000035687	protein_coding
STAP1	chr4	ENSG00000035720	protein_coding
TIMP2	chr17	ENSG00000035862	protein_coding
RFC1	chr4	ENSG00000035928	protein_coding
TBC1D23	chr3	ENSG00000036054	protein_coding
CUL3	chr2	ENSG00000036257	protein_coding
MYOM2	chr8	ENSG00000036448	protein_coding
OTC	chrX	ENSG00000036473	protein_coding
CYP46A1	chr14	ENSG00000036530	protein_coding
ZZZ3	chr1	ENSG00000036549	protein_coding
SLC18A1	chr8	ENSG00000036565	protein_coding
USP2	chr11	ENSG00000036672	protein_coding
CASR	chr3	ENSG00000036828	protein_coding
TUBG2	chr17	ENSG00000037042	protein_coding
RPL26L1	chr5	ENSG00000037241	protein_coding
FLT4	chr5	ENSG00000037280	protein_coding
NSUN2	chr5	ENSG00000037474	protein_coding
FBXO42	chr1	ENSG00000037637	protein_coding
MFAP3	chr5	ENSG00000037749	protein_coding
MRI1	chr19	ENSG00000037757	protein_coding
METTL1	chr12	ENSG00000037897	protein_coding
HOXC8	chr12	ENSG00000037965	protein_coding
AGA	chr4	ENSG00000038002	protein_coding
PI4K2B	chr4	ENSG00000038210	protein_coding
BOD1L1	chr4	ENSG00000038219	protein_coding
MAT2B	chr5	ENSG00000038274	protein_coding
TLL1	chr4	ENSG00000038295	protein_coding
EDC4	chr16	ENSG00000038358	protein_coding
TRIO	chr5	ENSG00000038382	protein_coding
VCAN	chr5	ENSG00000038427	protein_coding
CLEC16A	chr16	ENSG00000038532	protein_coding
MSR1	chr8	ENSG00000038945	protein_coding
CDH1	chr16	ENSG00000039068	protein_coding
MTREX	chr5	ENSG00000039123	protein_coding
DNAH5	chr5	ENSG00000039139	protein_coding
ZFYVE16	chr5	ENSG00000039319	protein_coding
RIPOR1	chr16	ENSG00000039523	protein_coding
C6	chr5	ENSG00000039537	protein_coding
